,product_name,product_category_tree,pid,image,description,brand,categ_level_1,categ_level_2,categ_level_3,categ_level_4,categ_level_5,categ_level_6,categ_level_7,sentence_bow,sentence_bow_lem,product_name_bow_lem,sentence_bow_lem_ads,sentence_dl,length_bow,length_dl,labels_bow,labels_tfidf,labels_LDA1,labels_LDA2,labels_W2V,labels_berthf,labels_berthub,labels_USE
32,"D'Signer 681GM_WHT Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> D'Signer Wrist Watches""]",WATECKYCCMXUQQMS,8b268c1e68f198ae2e934717d49f48e9.jpg,"D'Signer 681GM_WHT Analog Watch  - For Men, Boys - Buy D'Signer 681GM_WHT Analog Watch  - For Men, Boys  681GM_WHT Online at Rs.6645 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",missing,Watches,Wrist Watches,D'Signer Wrist Watches,,,,,dsigner gmwht analog watch men boys dsigner gmwht analog watch men boys gmwht,dsigner gmwht analog watch men boy dsigner gmwht analog watch men boy gmwht,dsigner gmwht analog watch men boy,dsigner gmwht analog watch men boy dsigner gmwht analog watch men boy gmwht india great discount,dsigner gmwht analog watch for men boys dsigner gmwht analog watch for men boys gmwht,13,15,1,2,1,2,2,2,3,0
33,SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set,"[""Home Furnishing >> Living Room Furnishing >> Diwan Sets >> SANTOSH ROYAL FASHION Diwan Sets >> SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set""]",DSTEJJEXFWXKBDYM,b85f8843bb1c297dd5712f0bd287006d.jpg,"Key Features of SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set Color: Multicolor No of Contents: 8 Diwan Sheet Length225 cm Cushion Cover Length:40 cm,SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set Price: Rs. 979 Add oodles of style to your home with an exciting range of designer furniture, furnishings, decor items and kitchenware. We promise to deliver best quality products at best prices.,Specifications of SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set General Brand SANTOSH ROYAL FASHION Material Cotton Pattern Embroidered Style Code dsnsan-34 Color Multicolor Dimensions Bolster Cover Length 23 inch / 40 cm Cushion Cover Width 15 inch / 40 cm Diwan Sheet Length 88 inch / 225 cm Cushion Cover Length 15 inch / 40 cm Diwan Sheet Width 59 inch / 150 cm In the Box Number of Contents in Sales Package Pack of 8 Sales Package 1 Diwan Sheet,5 Cushion Covers, 2 Bolster Covers Additional Features Fabric Care Machine Washable, Do Not Soak",SANTOSH ROYAL FASHION,Home Furnishing,Living Room Furnishing,Diwan Sets,SANTOSH ROYAL FASHION Diwan Sets,SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set,,,key santosh royal fashion cotton embroidered diwan set color multicolor contents diwan sheet length cm cushion cover length cmsantosh royal fashion cotton embroidered diwan set add oodles style home exciting range designer furniture furnishings decor items kitchenware promise deliver best quality santosh royal fashion cotton embroidered diwan set brand santosh royal fashion material cotton pattern embroidered style code dsnsan color multicolor dimensions bolster cover length inch cm cushion cover width inch cm diwan sheet length inch cm cushion cover length inch cm diwan sheet width inch cm box number contents pack diwan sheet cushion covers bolster covers additional fabric care machine washable soak,key santosh royal fashion cotton embroidered diwan set color multicolor content diwan sheet length cm cushion cover length cmsantosh royal fashion cotton embroidered diwan set add oodles style home exciting range designer furniture furnishing decor item kitchenware promise deliver best quality santosh royal fashion cotton embroidered diwan set brand santosh royal fashion material cotton pattern embroidered style code dsnsan color multicolor dimension bolster cover length inch cm cushion cover width inch cm diwan sheet length inch cm cushion cover length inch cm diwan sheet width inch cm box number content pack diwan sheet cushion cover bolster cover additional fabric care machine washable soak,santosh royal fashion cotton embroidered diwan set,key santosh royal fashion cotton embroidered diwan set color multicolor content diwan sheet length cm cushion cover length cmsantosh royal fashion cotton embroidered diwan set add oodles style home exciting range designer furniture furnishing decor item kitchenware promise deliver best quality best pricesspecifications santosh royal fashion cotton embroidered diwan set brand santosh royal fashion material cotton pattern embroidered style code dsnsan color multicolor dimension bolster cover length inch cm cushion cover width inch cm diwan sheet length inch cm cushion cover length inch cm diwan sheet width inch cm box number content pack diwan sheet cushion cover bolster cover additional fabric care machine washable soak,key features of santosh royal fashion cotton embroidered diwan set color multicolor no of contents diwan sheet length cm cushion cover length cmsantosh royal fashion cotton embroidered diwan set add oodles of style to your home with an exciting range of designer furniture furnishings decor items and kitchenware we promise to deliver best quality products at specifications of santosh royal fashion cotton embroidered diwan set general brand santosh royal fashion material cotton pattern embroidered style code dsnsan color multicolor dimensions bolster cover length inch cm cushion cover width inch cm diwan sheet length inch cm cushion cover length inch cm diwan sheet width inch cm in the box number of contents in sales package pack of sales package diwan sheet cushion covers bolster covers additional features fabric care machine washable do not soak,103,133,2,3,1,6,1,0,0,1
34,House This Queen Cotton Duvet Cover,"[""Home Furnishing >> Bed Linen >> Duvet Covers >> House This Duvet Covers >> House This Queen Cotton Duvet Cover (Grey)""]",DCVEJHVEMXYT6UF6,a4b09aa7927c59fbb39960b3d7919909.jpg,"Key Features of House This Queen Cotton Duvet Cover Material:100% Cotton Outer.Inner Polyfill Thrade :210 Dimension: Duvet Cover 229X274 Cms 1 Double Duvet Cover,Specifications of House This Queen Cotton Duvet Cover (Grey) General Brand House This Closure Button Design Code P21821 Material Cotton Pattern Printed Thread Count 210 Style Code Dco-Smart Stripe-Black Grey Size Queen Color Grey Dimensions Length 107 inch / 274 cm Width 90 inch / 229 cm In the Box Number of Contents in Sales Package Pack of 1 Fabric Care Machine Washable, Do Not Soak Additional Features Reversible No",House This,Home Furnishing,Bed Linen,Duvet Covers,House This Duvet Covers,House This Queen Cotton Duvet Cover (Grey),,,key house queen cotton duvet cover material cotton outerinner polyfill thrade dimension duvet cover x cms double duvet coverspecifications house queen cotton duvet cover grey brand house closure button design code p material cotton pattern printed thread count style code dcosmart stripeblack grey size queen color grey dimensions length inch cm width inch cm box number contents pack fabric care machine washable soak additional reversible,key house queen cotton duvet cover material cotton outerinner polyfill thrade dimension duvet cover x cm double duvet coverspecifications house queen cotton duvet cover grey brand house closure button design code p material cotton pattern printed thread count style code dcosmart stripeblack grey size queen color grey dimension length inch cm width inch cm box number content pack fabric care machine washable soak additional reversible,house queen cotton duvet cover,key house queen cotton duvet cover material cotton outerinner polyfill thrade dimension duvet cover x cm double duvet coverspecifications house queen cotton duvet cover grey brand house closure button design code p material cotton pattern printed thread count style code dcosmart stripeblack grey size queen color grey dimension length inch cm width inch cm box number content pack fabric care machine washable soak additional reversible,key features of house this queen cotton duvet cover material cotton outerinner polyfill thrade dimension duvet cover x cms double duvet coverspecifications of house this queen cotton duvet cover grey general brand house this closure button design code p material cotton pattern printed thread count style code dcosmart stripeblack grey size queen color grey dimensions length inch cm width inch cm in the box number of contents in sales package pack of fabric care machine washable do not soak additional features reversible no,65,83,2,3,1,6,1,6,4,1
35,Riva Carpets Cotton Free Bath Mat Classic Loop Shag Bathmat_RI-527,"[""Home Furnishing >> Bath Linen >> Bath Mats""]",MATEB88TYRSSX8SH,81e739c7f3be737152f2e6f520e3494b.jpg,Buy Riva Carpets Cotton Free Bath Mat Classic Loop Shag Bathmat_RI-527 at Rs. 1799 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,Riva Carpets,Home Furnishing,Bath Linen,Bath Mats,,,,,riva carpets cotton bath mat classic loop shag bathmatri,riva carpet cotton bath mat classic loop shag bathmatri,riva carpet cotton bath mat classic loop shag bathmatri,riva carpet cotton bath mat classic loop shag bathmatri,riva carpets cotton free bath mat classic loop shag bathmatri,9,10,0,0,3,6,6,1,5,6
36,Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener,"[""Home Decor & Festive Needs >> Candles & Fragrances >> Home Fragrances >> Aroma Oils >> Myesquire Aroma Oils""]",AIREDJGYAHPBXTZS,f0938b0d88eac91deee6d5add54097d3.jpg,"Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener (30 ml)
                         Price: Rs. 245
				
			Illuminate Every Corner Of Your Living Room In Style With This Home Fragrance Electric Burner Combo With Fragrance That Is Brought To You By Myesquire. This Is A Very Unique, Useful And Value for Money Product For Home Decoration And Fragrance. This Unique Combo Contains Aroma Burner With All Accessories and is ready to use . Put A Small Amount 1-2 Tea Spoon Of Aroma Oil On The Bowl Surface And Light The Tea Light and After Few Minutes As The Oil Heats Up, The Fragrance Will Spread In The Room. And You Will Be All Set To Enjoy The Captivating Aroma. Keep It Away From Children As Surface Becomes Hot.
Illuminate Every Corner Of Your Living Room In Style With This Home Fragrance Electric Burner Combo With Fragrance That Is Brought To You By Myesquire. This Is A Very Unique, Useful And Value for Money Product For Home Decoration And Fragrance. This Unique Combo Contains Aroma Burner With All Accessories and is ready to use . Put A Small Amount 1-2 Tea Spoon Of Aroma Oil On The Bowl Surface And Light The Tea Light and After Few Minutes As The Oil Heats Up, The Fragrance Will Spread In The Room. And You Will Be All Set To Enjoy The Captivating Aroma. Keep It Away From Children As Surface Becomes Hot.",Myesquire,Home Decor & Festive Needs,Candles & Fragrances,Home Fragrances,Aroma Oils,Myesquire Aroma Oils,,,myesquire ceramic burner pot lemongrass liquid air freshener ml illuminate every corner living room style home fragrance electric burner combo fragrance brought myesquire unique useful value money product home decoration fragrance unique combo contains aroma burner accessories ready use put small amount tea spoon aroma oil bowl surface light tea light minutes oil heats fragrance spread room set enjoy captivating aroma keep away children surface becomes hot illuminate every corner living room style home fragrance electric burner combo fragrance brought myesquire unique useful value money product home decoration fragrance unique combo contains aroma burner accessories ready use put small amount tea spoon aroma oil bowl surface light tea light minutes oil heats fragrance spread room set enjoy captivating aroma keep away children surface becomes hot,myesquire ceramic burner pot lemongrass liquid air freshener ml illuminate every corner living room style home fragrance electric burner combo fragrance brought myesquire unique useful value money product home decoration fragrance unique combo contains aroma burner accessory ready use put small amount tea spoon aroma oil bowl surface light tea light minute oil heat fragrance spread room set enjoy captivating aroma keep away child surface becomes hot illuminate every corner living room style home fragrance electric burner combo fragrance brought myesquire unique useful value money product home decoration fragrance unique combo contains aroma burner accessory ready use put small amount tea spoon aroma oil bowl surface light tea light minute oil heat fragrance spread room set enjoy captivating aroma keep away child surface becomes hot,myesquire ceramic burner pot lemongrass liquid air freshener,myesquire ceramic burner pot lemongrass liquid air freshener ml illuminate every corner living room style home fragrance electric burner combo fragrance brought myesquire unique useful value money product home decoration fragrance unique combo contains aroma burner accessory ready use put small amount tea spoon aroma oil bowl surface light tea light minute oil heat fragrance spread room set enjoy captivating aroma keep away child surface becomes hot illuminate every corner living room style home fragrance electric burner combo fragrance brought myesquire unique useful value money product home decoration fragrance unique combo contains aroma burner accessory ready use put small amount tea spoon aroma oil bowl surface light tea light minute oil heat fragrance spread room set enjoy captivating aroma keep away child surface becomes hot,myesquire ceramic burner pot lemongrass liquid air freshener ml illuminate every corner of your living room in style with this home fragrance electric burner combo with fragrance that is brought to you by myesquire this is a very unique useful and value for money product for home decoration and fragrance this unique combo contains aroma burner with all accessories and is ready to use put a small amount tea spoon of aroma oil on the bowl surface and light the tea light and after few minutes as the oil heats up the fragrance will spread in the room and you will be all set to enjoy the captivating aroma keep it away from children as surface becomes hot illuminate every corner of your living room in style with this home fragrance electric burner combo with fragrance that is brought to you by myesquire this is a very unique useful and value for money product for home decoration and fragrance this unique combo contains aroma burner with all accessories and is ready to use put a small amount tea spoon of aroma oil on the bowl surface and light the tea light and after few minutes as the oil heats up the fragrance will spread in the room and you will be all set to enjoy the captivating aroma keep it away from children as surface becomes hot,125,227,0,6,5,1,4,0,0,6
37,Dungri India Craft Ducjug010-ducgl012-2 Jug Glass Set,"[""Kitchen & Dining >> Tableware & Cutlery >> Jug, Glass & Tray Sets >> Dungri India Craft Jug, Glass & Tray Sets >> Dungri India Craft Ducjug010-ducgl012-2 Jug Glas...""]",JGTECTXNJJFCUCJK,e9420e9483f16db81c64dddf99f34841.jpg,"Key Features of Dungri India Craft Ducjug010-ducgl012-2 Jug Glass Set Jug: Height- 8 inches, Dia - 4.2 inches, Depth 7.5 inches, Width 7 inches,capacity 1744 ml, Weight - 430 Grams,Dungri India Craft Ducjug010-ducgl012-2 Jug Glass Set (Copper) Price: Rs. 1,399 Copper Utensils And Serving Copper Ware Helped To Prevent The Spread Of Diseases. In Many Tests It Showed That 99.9% Of The Bacteria On Copper Alloy Surfaces (With 65% Or Greater Copper Content) Were Eliminated Within 2 Hours Of Exposure. According To Research At Southampton University In The U.K., Mrsa Microbes Remain Alive On Stainless Steel Surfaces For Up To Three Days, Whereas The Same Microbes On A Copper Surface Are Eliminated Within 90 Minutes. These Copper Serving Ware Are Preferred Because It Is Durable And It Has Excellent Characteristics. The Ageless Use Of Copper Bears Testimony To Its Myriad Virtues And Everlasting Appeal. Its Therapeutic Value Has Been Handed Down To Us Through The Ages. In Fact, Water Stored In Copper Ware Is Virtually The Elixir Of Life. Purified, It Helps To Regulate Digestion And Cardiac Orders, The Basis Of Good Health, As Practiced By Ayurveda And Rishits From Old Vedic Times.   Care Tips:  * Clean Your Copperware By Hand And Avoid Dishwasher As The Detergent Can Cause Oxidation Leading To Permanat Damage. * Use A Solution Of Equal Quantities Vinegar Or Lemon Juice And Salt Diluted With Some Water At Such Times But Don'T Use It Regularly. * Avoid Scratchy Cleaners Like Steel Wool. * A Simple, Soft Cleaning Liquid On Soap Base, Hot Water And A Soft Washing Cloth Is Best For Daily Use.,Specifications of Dungri India Craft Ducjug010-ducgl012-2 Jug Glass Set (Copper) General Brand Dungri India Craft Number of Glasses 2 Model Number Ducjug010-ducgl012-2 Type Jug Glass Set Glass Shape Tumblers Material Copper Capacity per Glass 320 ml Jug Capacity 1.7 L Color Gold Dimensions Jug Height 203 mm Glass Diameter 50 mm Jug Depth 190 mm Other Dimensions Glass: Dia - 2"", Height - 4"", capacity - 320 ml, Weight - 75 grams In the Box 1 Jug 2 Glass Set Additional Features Microwave Safe No Care Instructions For Better Washing Result Wash With Pitambari Cleaning Power",Dungri India Craft,Kitchen & Dining,Tableware & Cutlery,"Jug, Glass & Tray Sets","Dungri India Craft Jug, Glass & Tray Sets",Dungri India Craft Ducjug010-ducgl012-2 Jug Glas...,,,key dungri india craft ducjugducgl jug glass set jug height inches dia inches depth inches width inchescapacity ml weight gramsdungri india craft ducjugducgl jug glass set copper copper utensils serving copper ware helped prevent spread diseases many tests showed bacteria copper alloy surfaces greater copper content eliminated within hours exposure according research southampton university uk mrsa microbes remain alive stainless steel surfaces three days whereas microbes copper surface eliminated within minutes copper serving ware preferred durable excellent characteristics ageless use copper bears testimony myriad virtues everlasting appeal therapeutic value handed us ages fact water stored copper ware virtually elixir life purified helps regulate digestion cardiac orders basis good health practiced ayurveda rishits old vedic times care tips clean copperware hand avoid dishwasher detergent cause oxidation leading permanat damage use solution equal quantities vinegar lemon juice salt diluted water times dont use regularly avoid scratchy cleaners like steel wool simple soft cleaning liquid soap base hot water soft washing cloth best daily usespecifications dungri india craft ducjugducgl jug glass set copper brand dungri india craft number glasses model number ducjugducgl jug glass set glass shape tumblers material copper capacity per glass ml jug capacity l color gold dimensions jug height mm glass diameter mm jug depth mm dimensions glass dia height capacity ml weight grams box jug glass set additional microwave safe care instructions better washing result wash pitambari cleaning power,key dungri india craft ducjugducgl jug glass set jug height inch dia inch depth inch width inchescapacity ml weight gramsdungri india craft ducjugducgl jug glass set copper copper utensil serving copper ware helped prevent spread disease many test showed bacteria copper alloy surface greater copper content eliminated within hour exposure according research southampton university uk mrsa microbe remain alive stainless steel surface three day whereas microbe copper surface eliminated within minute copper serving ware preferred durable excellent characteristic ageless use copper bear testimony myriad virtue everlasting appeal therapeutic value handed u age fact water stored copper ware virtually elixir life purified help regulate digestion cardiac order basis good health practiced ayurveda rishits old vedic time care tip clean copperware hand avoid dishwasher detergent cause oxidation leading permanat damage use solution equal quantity vinegar lemon juice salt diluted water time dont use regularly avoid scratchy cleaner like steel wool simple soft cleaning liquid soap base hot water soft washing cloth best daily usespecifications dungri india craft ducjugducgl jug glass set copper brand dungri india craft number glass model number ducjugducgl jug glass set glass shape tumbler material copper capacity per glass ml jug capacity l color gold dimension jug height mm glass diameter mm jug depth mm dimension glass dia height capacity ml weight gram box jug glass set additional microwave safe care instruction better washing result wash pitambari cleaning power,dungri india craft ducjugducgl jug glass set,key dungri india craft ducjugducgl jug glass set jug height inch dia inch depth inch width inchescapacity ml weight gramsdungri india craft ducjugducgl jug glass set copper copper utensil serving copper ware helped prevent spread disease many test showed bacteria copper alloy surface greater copper content eliminated within hour exposure according research southampton university uk mrsa microbe remain alive stainless steel surface three day whereas microbe copper surface eliminated within minute copper serving ware preferred durable excellent characteristic ageless use copper bear testimony myriad virtue everlasting appeal therapeutic value handed u age fact water stored copper ware virtually elixir life purified help regulate digestion cardiac order basis good health practiced ayurveda rishits old vedic time care tip clean copperware hand avoid dishwasher detergent cause oxidation leading permanat damage use solution equal quantity vinegar lemon juice salt diluted water time dont use regularly avoid scratchy cleaner like steel wool simple soft cleaning liquid soap base hot water soft washing cloth best daily usespecifications dungri india craft ducjugducgl jug glass set copper brand dungri india craft number glass model number ducjugducgl jug glass set glass shape tumbler material copper capacity per glass ml jug capacity l color gold dimension jug height mm glass diameter mm jug depth mm dimension glass dia height capacity ml weight gram box jug glass set additional microwave safe care instruction better washing result wash pitambari cleaning power,key features of dungri india craft ducjugducgl jug glass set jug height inches dia inches depth inches width inchescapacity ml weight gramsdungri india craft ducjugducgl jug glass set copper copper utensils and serving copper ware helped to prevent the spread of diseases in many tests it showed that of the bacteria on copper alloy surfaces with or greater copper content were eliminated within hours of exposure according to research at southampton university in the uk mrsa microbes remain alive on stainless steel surfaces for up to three days whereas the same microbes on a copper surface are eliminated within minutes these copper serving ware are preferred because it is durable and it has excellent characteristics the ageless use of copper bears testimony to its myriad virtues and everlasting appeal its therapeutic value has been handed down to us through the ages in fact water stored in copper ware is virtually the elixir of life purified it helps to regulate digestion and cardiac orders the basis of good health as practiced by ayurveda and rishits from old vedic times care tips clean your copperware by hand and avoid dishwasher as the detergent can cause oxidation leading to permanat damage use a solution of equal quantities vinegar or lemon juice and salt diluted with some water at such times but dont use it regularly avoid scratchy cleaners like steel wool a simple soft cleaning liquid on soap base hot water and a soft washing cloth is best for daily usespecifications of dungri india craft ducjugducgl jug glass set copper general brand dungri india craft number of glasses model number ducjugducgl type jug glass set glass shape tumblers material copper capacity per glass ml jug capacity l color gold dimensions jug height mm glass diameter mm jug depth mm other dimensions glass dia height capacity ml weight grams in the box jug glass set additional features microwave safe no care instructions for better washing result wash with pitambari cleaning power,230,327,2,0,3,1,1,0,0,3
38,BFT 6 W LED Bulb,"[""Kitchen & Dining >> Lighting >> Bulbs >> BFT Bulbs >> BFT 6 W LED Bulb (White)""]",BLBEJR23J2CTPFAU,a3dea07b2f7bf48276d32513091be717.jpg,"Key Features of BFT 6 W LED Bulb Pack of 1 Bulb,BFT 6 W LED Bulb (White) Price: Rs. 350 Introducing new technology in led lighting LED filament. Best suited for chandeliers table lamps and light fixtures in general as it spreads light 360-degrees,Specifications of BFT 6 W LED Bulb (White) General Brand BFT Model Number BFTCW6 Body and Design Features Material Glass Bulb Base B22 Lighting Features Light Color White Bulb Type LED Lumen 700 Power Features Power Consumption 6 W In the Box Sales Package 1 Bulb Pack of 1",BFT,Kitchen & Dining,Lighting,Bulbs,BFT Bulbs,BFT 6 W LED Bulb (White),,,key bft w led bulb pack bulbbft w led bulb white introducing new technology led lighting led filament best suited chandeliers table lamps light fixtures spreads light degreesspecifications bft w led bulb white brand bft model number bftcw body design material glass bulb base b lighting light color white bulb led lumen power power consumption w box bulb pack,key bft w led bulb pack bulbbft w led bulb white introducing new technology led lighting led filament best suited chandelier table lamp light fixture spread light degreesspecifications bft w led bulb white brand bft model number bftcw body design material glass bulb base b lighting light color white bulb led lumen power power consumption w box bulb pack,bft w led bulb,key bft w led bulb pack bulbbft w led bulb white introducing new technology led lighting led filament best suited chandelier table lamp light fixture spread light degreesspecifications bft w led bulb white brand bft model number bftcw body design material glass bulb base b lighting light color white bulb led lumen power power consumption w box bulb pack,key features of bft w led bulb pack of bulbbft w led bulb white introducing new technology in led lighting led filament best suited for chandeliers table lamps and light fixtures in general as it spreads light degreesspecifications of bft w led bulb white general brand bft model number bftcw body and design features material glass bulb base b lighting features light color white bulb type led lumen power features power consumption w in the box sales package bulb pack of,59,81,5,1,2,3,0,6,4,2
39,JMD Printed Cushions Cover,"[""Home Furnishing >> JMD Home Furnishing >> JMD Printed Cushions Cover (Pack of 2, 40 cm*40 ...""]",CPCEJMM7HWCNNGBR,66191b4a311b5d9babfc00a71ef97c5b.jpg,"Key Features of JMD Printed Cushions Cover Printed 40x40cm size Made of Cotton,Specifications of JMD Printed Cushions Cover (Pack of 2, 40 cm*40 cm, Multicolor) General Brand JMD Suitable For Cushions Design Code C03 Type Square Material Cotton Style Code C03 Pattern Printed Color Multicolor Dimensions Height 15 inch / 40 cm Width 15 inch / 40 cm Additional Features Reversible No In the Box Number of Contents in Sales Package Pack of 2 Sales Package Cushion Pillow Cover",JMD,Home Furnishing,JMD Home Furnishing,"JMD Printed Cushions Cover (Pack of 2, 40 cm*40 ...",,,,,key jmd printed cushions cover printed xcm size made cottonspecifications jmd printed cushions cover pack cm cm multicolor brand jmd suitable cushions design code c square material cotton style code c pattern printed color multicolor dimensions height inch cm width inch cm additional reversible box number contents pack cushion pillow cover,key jmd printed cushion cover printed xcm size made cottonspecifications jmd printed cushion cover pack cm cm multicolor brand jmd suitable cushion design code c square material cotton style code c pattern printed color multicolor dimension height inch cm width inch cm additional reversible box number content pack cushion pillow cover,jmd printed cushion cover,key jmd printed cushion cover printed xcm size made cottonspecifications jmd printed cushion cover pack cm cm multicolor brand jmd suitable cushion design code c square material cotton style code c pattern printed color multicolor dimension height inch cm width inch cm additional reversible box number content pack cushion pillow cover,key features of jmd printed cushions cover printed xcm size made of cottonspecifications of jmd printed cushions cover pack of cm cm multicolor general brand jmd suitable for cushions design code c type square material cotton style code c pattern printed color multicolor dimensions height inch cm width inch cm additional features reversible no in the box number of contents in sales package pack of sales package cushion pillow cover,51,70,2,3,1,6,1,6,4,1
40,Mom and Kid Baby Girl's Printed Green Top & Pyjama Set,"[""Baby Care >> Infant Wear >> Baby Girls' Clothes >> Innerwear & Sleepwear >> Night Suits >> Mom and Kid Night Suits >> Mom and Kid Baby Girl's Printed Green Top & Pyja...""]",NSTEJHERS3AKXUCW,90e56526f4c5892beac49f262b85150a.jpg,"Key Features of Mom and Kid Baby Girl's Printed Green Top & Pyjama Set Fabric: Cotton Brand Color: Green,Mom and Kid Baby Girl's Printed Green Top & Pyjama Set Price: Rs. 309 Girls Pyjama set,Specifications of Mom and Kid Baby Girl's Printed Green Top & Pyjama Set General Details Pattern Printed Ideal For Baby Girl's Night Suit Details Fabric Cotton Type Top & Pyjama Set Neck Round Neck In the Box 1 Top & Pyjama Set",Mom and Kid,Baby Care,Infant Wear,Baby Girls' Clothes,Innerwear & Sleepwear,Night Suits,Mom and Kid Night Suits,Mom and Kid Baby Girl's Printed Green Top & Pyja...,key mom kid baby girls printed green top pyjama set fabric cotton brand color greenmom kid baby girls printed green top pyjama set girls pyjama setspecifications mom kid baby girls printed green top pyjama set pattern printed ideal baby girls night suit fabric cotton top pyjama set neck round neck box top pyjama set,key mom kid baby girl printed green top pyjama set fabric cotton brand color greenmom kid baby girl printed green top pyjama set girl pyjama setspecifications mom kid baby girl printed green top pyjama set pattern printed ideal baby girl night suit fabric cotton top pyjama set neck round neck box top pyjama set,mom kid baby girl printed green top pyjama set,key mom kid baby girl printed green top pyjama set fabric cotton brand color greenmom kid baby girl printed green top pyjama set girl pyjama setspecifications mom kid baby girl printed green top pyjama set pattern printed ideal baby girl night suit fabric cotton top pyjama set neck round neck box top pyjama set,key features of mom and kid baby girls printed green top pyjama set fabric cotton brand color greenmom and kid baby girls printed green top pyjama set girls pyjama setspecifications of mom and kid baby girls printed green top pyjama set general details pattern printed ideal for baby girls night suit details fabric cotton type top pyjama set neck round neck in the box top pyjama set,54,67,4,5,1,6,5,5,6,5
41,Kripa's Printed Cushions Cover,"[""Home Furnishing >> Kripa's Home Furnishing >> Kripa's Printed Cushions Cover (Pack of 2, 45 cm...""]",CPCEJMHZEHTQFACN,a79117ea49a0533f641facdb4c99f502.jpg,"Key Features of Kripa's Printed Cushions Cover Length 45 cm Width 45 cm,Specifications of Kripa's Printed Cushions Cover (Pack of 2, 45 cm*45 cm, Grey) General Brand Kripa's Suitable For Cushions Design Code CC-MH-02 Type Square Material Cotton Style Code CC-MH-02 Pattern Printed Color Grey Dimensions Height 17 inch / 45 cm Width 17 inch / 45 cm Additional Features Reversible Yes In the Box Number of Contents in Sales Package Pack of 2",Kripa's,Home Furnishing,Kripa's Home Furnishing,"Kripa's Printed Cushions Cover (Pack of 2, 45 cm...",,,,,key kripas printed cushions cover length cm width cmspecifications kripas printed cushions cover pack cm cm grey brand kripas suitable cushions design code ccmh square material cotton style code ccmh pattern printed color grey dimensions height inch cm width inch cm additional reversible yes box number contents pack,key kripas printed cushion cover length cm width cmspecifications kripas printed cushion cover pack cm cm grey brand kripas suitable cushion design code ccmh square material cotton style code ccmh pattern printed color grey dimension height inch cm width inch cm additional reversible yes box number content pack,kripas printed cushion cover,key kripas printed cushion cover length cm width cmspecifications kripas printed cushion cover pack cm cm grey brand kripas suitable cushion design code ccmh square material cotton style code ccmh pattern printed color grey dimension height inch cm width inch cm additional reversible yes box number content pack,key features of kripas printed cushions cover length cm width cmspecifications of kripas printed cushions cover pack of cm cm grey general brand kripas suitable for cushions design code ccmh type square material cotton style code ccmh pattern printed color grey dimensions height inch cm width inch cm additional features reversible yes in the box number of contents in sales package pack of,48,63,2,3,1,6,1,6,4,1
